peasants_fasci,sp3m1893_n30,cl1_stn_sp1893_n30,predr_peas_fasci,ruralcentre1861,Rural_rent,Urban_rent,agricola_rel,seminatoritot_rel,sulfurproduction1868_70,Citrus_groves,Olives_groves,Vineyards,Mafia1885,Mafia1900,lnpop1861,lnsurface,centreheight,maxheight,slope2,pa_pdist1856,port2_pdist1856,roads1799,ave_temp,sp3m_ave_n30,var_sp3m_n30,distretto1853,provincia1853
1,0.20252838730812073,26,0,0,5.099931716918945,0,0.9637573957443237,0.7835484743118286,0,0.005555364303290844,0.005967100616544485,0.048398036509752274,0,0,7.396335124969482,7.259002685546875,554,723,176,71,71,0,14.600000381469727,158.4962921142578,0.27024441957473755,caltanissetta,caltanissetta
0,1.0492119789123535,4,0,1,3.5977816581726074,1.1374047994613647,0.9701000452041626,0.8199988007545471,153,3.233516472391784e-4,0.01581387408077717,0.024294232949614525,3,3,10.080754280090332,10.598987579345703,588,866,343,92,34,1,14.800000190734863,135.33966064453125,0.41962140798568726,caltanissetta,caltanissetta
1,0.3623591959476471,26,0,0,2.55831241607666,0.38952189683914185,0.9097172617912292,0.5116087794303894,0,5.223450134508312e-4,0.0023271706886589527,0.006733574438840151,0,0,7.693937301635742,8.28357982635498,292,621,250,74,74,0,16.399999618530273,129.44692993164062,0.15925607085227966,caltanissetta,caltanissetta
0,0.4212372303009033,5,0,0,7.590975284576416,2.6512258052825928,0.9832645058631897,0.7404210567474365,0,0.0030379046220332384,0.0438561886548996,0.06361006945371628,0,0,8.177515983581543,7.060150146484375,420,475,102.5,106,48,0,15.600000381469727,126.19808197021484,0.1744232177734375,caltanissetta,caltanissetta
1,0.727271318435669,4,0,0,4.133359909057617,0,1,0.8347676396369934,0,0,0,0.07240321487188339,2,1,7.493317127227783,7.190319061279297,720,821,235.5,68,55,1,14.100000381469727,144.14466857910156,0.3761913776397705,caltanissetta,caltanissetta
0,0.3734702467918396,26,0,0,2.460172176361084,0,0.9181634783744812,0.7008627653121948,25.5,2.0741827029269189e-4,4.273617814760655e-4,0.010818816721439362,3,3,7.670894622802734,8.156383514404297,440,511,150.5,111,85,0,16.049999237060547,131.87672424316406,0.16629378497600555,caltanissetta,caltanissetta
1,0.5541353225708008,26,0,1,3.343579053878784,0.7026591300964355,0.9525519609451294,0.776860237121582,0,1.2985007197130471e-4,0.004787620157003403,0.023519366979599,0,0,9.044049263000488,9.678900718688965,740,899,364.5,68,68,1,13.899999618530273,148.87991333007812,0.36622142791748047,caltanissetta,caltanissetta
0,0.9327265024185181,4,0,0,3.1625027656555176,0.78019118309021,0.9999315738677979,0.5873041749000549,0,0,0,0.06855980306863785,0,0,8.311152458190918,8.249762535095215,646,884,180,4,4,0,14.699999809265137,162.03306579589844,0.2304539531469345,caltanissetta,caltanissetta
0,0.8543545603752136,4,0,1,3.851184129714966,2.021501302719116,0.9769521951675415,0.776950478553772,117,0,0.00435031671077013,0.05932540073990822,0,3,9.456809997558594,8.892022132873535,625,704,252,98,40,0,14.600000381469727,134.67434692382812,0.32957330346107483,caltanissetta,caltanissetta
1,1.0492119789123535,4,0,1,2.8824336528778076,0.8863651752471924,0.9998434782028198,0.8878950476646423,40,2.1280193323036656e-5,0,0.03374946862459183,0,0,8.761237144470215,8.94007682800293,606,855,283.5,79,46,0,14.600000381469727,135.33966064453125,0.4237525165081024,caltanissetta,caltanissetta
0,0.47788992524147034,26,0,1,4.9184417724609375,1.5113637447357178,0.9996034502983093,0.6541414856910706,6.5,6.767878221580759e-5,0.0019075872842222452,0.08383839577436447,3,3,8.758097648620605,8.300337791442871,504,634,175,106,48,1,15.199999809265137,133.85301208496094,0.20295429229736328,caltanissetta,caltanissetta
0,0.4238012135028839,5,0,1,3.7547760009765625,1.4831817150115967,0.8576021194458008,0.6359404921531677,108,8.524436270818114e-4,0.004590796306729317,0.054676249623298645,0,3,8.371935844421387,8.125678062438965,369,441,165.5,106,48,0,15.899999618530273,123.03211212158203,0.17117756605148315,caltanissetta,caltanissetta
1,0.42607927322387695,26,0,0,2.815631866455078,0.3308045566082001,0.912253201007843,0.7101258635520935,0,3.328640596009791e-4,0.006558372639119625,0.009176903404295444,0,0,8.222822189331055,8.614066123962402,610,819,334.5,72,72,0,15.25,136.88047790527344,0.1997641623020172,caltanissetta,caltanissetta
0,1.0492119789123535,4,0,1,6.832878589630127,2.2562623023986816,0.9991275072097778,0.6730905771255493,0,0,0.016988592222332954,0.11102744936943054,2,0,8.513385772705078,8.261231422424316,474,800,180.5,58,58,1,15.199999809265137,135.33966064453125,0.4237525165081024,caltanissetta,caltanissetta
0,0.6586304903030396,4,0,0,8.097003936767578,2.312912702560425,0.9645060300827026,0.7676022052764893,0,0,0,0.10454902797937393,2,0,8.116416931152344,7.446026802062988,595,891,255.5,61,61,1,14.800000190734863,146.02198791503906,0.37150129675865173,caltanissetta,caltanissetta
0,1.0138541460037231,20,0,1,2.9025747776031494,0.26405125856399536,0.9998228549957275,0.71051788330078125,22,5.659455200657248e-4,0.0037622174713760614,0.028621895238757133,1,3,8.686091423034668,9.975409507751465,800,903,389,128.5,39,1,13.300000190734863,140.57798767089844,0.23144739866256714,piazza,caltanissetta
0,0.745101273059845,4,0,1,3.675248861312866,2.5181145668029785,0.9409862756729126,0.6089470386505127,8.5,0.00206489535048604,0.005582935642451048,0.1072550117969513,2,1,9.09694766998291,8.437257766723633,447,645,205,113.5,22,0,15.300000190734863,123.18370819091797,0.2359205037355423,piazza,caltanissetta
0,1.0492119789123535,4,0,1,2.9559555053710938,0.5757036805152893,0.9995898604393005,0.734427273273468,5.199999809265137,5.380908842198551e-4,0.006354651879519224,0.0489933155477047,2,1,8.587651252746582,9.116385459899902,878,899,259.5,103.5,34,0,13.600000381469727,135.33966064453125,0.4237525165081024,piazza,caltanissetta
0,1.0492119789123535,4,0,1,3.03997802734375,0.5844393372535706,0.9995987415313721,0.7258827090263367,175,7.992377504706383e-4,0.006592577788978815,0.05759129300713539,1,1,9.591034889221191,10.538554191589355,935,997,366,102,49,1,12.899999618530273,135.33966064453125,0.4237525165081024,piazza,caltanissetta
0,NA,NA,0,1,3.771526575088501,0.634994387626648,0.9998577833175659,0.6967913508415222,65,1.2718586367554963e-4,0.0065427180379629135,0.09276179224252701,1,0,10.005231857299805,10.298394203186035,721,918,346.5,125.5,34,1,14,125.2131576538086,0.42579883337020874,piazza,caltanissetta
1,0.8230463266372681,4,0,1,3.5544986724853516,0.8506669998168945,0.9911774396896362,0.6966403126716614,0,1.9896549929399043e-4,0.013539004139602184,0.0664912685751915,0,2,9.262932777404785,9.340703010559082,523,643,244,105,27,1,15.199999809265137,126.2993392944336,0.2721283733844757,piazza,caltanissetta
1,NA,NA,0,1,8.572121620178223,11.861713409423828,0.984684944152832,0.6645509004592896,0,0.002301102038472891,0.04867715388536453,0.18581590056419373,0,3,9.16104507446289,6.810849189758301,629,730,215,113,43,0,14.600000381469727,125.2131576538086,0.42579883337020874,piazza,caltanissetta
0,1.0492119789123535,4,0,1,4.244987487792969,0.9153297543525696,0.9998296499252319,0.8062081933021545,21,2.1350513270590454e-4,0.009539409540593624,0.04893751069903374,2,2,8.818334579467773,8.316202163696289,523,704,174.5,91,58,0,15,135.33966064453125,0.4237525165081024,piazza,caltanissetta
1,0.30410367250442505,5,0,1,2.7757277488708496,0.18588881194591522,0.9628132581710815,0.6878217458724976,3.700000047683716,4.637411911971867e-4,6.29291171208024e-4,0.027868153527379036,1,1,8.545002937316895,10.29228401184082,402,550,275,127.5,10,1,16,105.55609893798828,0.20216849446296692,terranova,caltanissetta
1,0.6810893416404724,4,0,1,2.68021297454834,0.4027252793312073,0.9998804330825806,0.5846024751663208,6,4.346730711404234e-4,0.004376739263534546,0.019502798095345497,0,2,9.34783935546875,10.27637767791748,573,675,297.5,118.5,18,1,14.800000190734863,120.62501525878906,0.2117909938097,terranova,caltanissetta
1,1.0138541460037231,20,0,1,2.9130349159240723,1.07810378074646,0.9998173117637634,0.40673530101776123,0,6.874609971418977e-4,0.00511430948972702,0.10078274458646774,2,2,9.140454292297363,8.990893363952637,332,394,174,136.5,10,0,15.899999618530273,138.28421020507812,0.1633773148059845,terranova,caltanissetta
0,0.4711172878742218,5,0,1,4.002983570098877,1.4637831449508667,0.9730203747749329,0.7734102010726929,25,3.184522793162614e-4,0.014873935841023922,0.07849004864692688,2,3,9.140454292297363,8.798502922058105,369,446,173,124,52,0,15.899999618530273,116.58047485351562,0.17552226781845093,terranova,caltanissetta
1,NA,NA,1,1,3.781083822250366,1.0769388675689697,0.9998442530632019,0.5942490100860596,0,4.69338585389778e-4,0.004312258213758469,0.010169451124966145,0,1,9.544953346252441,10.165593147277832,45,310,155,136.5,0,1,17.399999618530273,NA,NA,terranova,caltanissetta
0,0.8418986201286316,38,0,0,19.224143981933594,0,0.9840535521507263,0.35361620783805847,0,0,0,0.4075915217399597,0,NA,7.035268783569336,4.989434242248535,362,370,10,181,13,0,15.899999618530273,198.08535766601562,0.2879180610179901,acireale,catania
0,0.7893827557563782,38,0,0,12.022358894348145,0,0.8528118133544922,0.35842466354370117,0,0.006322754546999931,0.06629099696874619,0.04751158133149147,0,1,7.595890045166016,6.618785858154297,15,257,128.5,177,15,0,18,168.44186401367188,0.2752205729484558,acireale,catania
0,0.8017182946205139,38,0,1,27.74759864807129,4.909567832946777,0.9968100786209106,0.4655279517173767,0,0.049987759441137314,0.4558298885822296,0,0,NA,8.438798904418945,6.59942626953125,170,281,72,183,11,1,17.100000381469727,182.54763793945312,0.2710729241371155,acireale,catania
0,0.7601508498191833,1,0,0,14.271778106689453,8.811572074890137,0.8505474925041199,0.2703373432159424,0,0.003607634687796235,0,0.2677256464958191,1,1,10.475793838500977,8.377981185913086,161,456,228,182,10,1,17.100000381469727,162.20465087890625,0.2825251817703247,acireale,catania
0,0.8244901299476624,38,0,0,12.406250953674316,2.3412609100341797,0.8291057348251343,0.1929248422384262,0,0.002445570658892393,0,0.4050663411617279,0,NA,8.439231872558594,7.442269325256348,302,601,172,182,12,0,16.299999237060547,191.33531188964844,0.28008604049682617,acireale,catania
0,0.832963764667511,35,0,0,11.858012199401855,0,0.9636980891227722,0.37091895937919617,0,0.024280071258544922,0.02532212808728218,0.22974617779254913,1,NA,7.943782806396484,7.792859077453613,60,735,367.5,19.5,8.5,1,17.899999618530273,170.6557159423828,0.20503631234169006,acireale,catania
0,0.7869583964347839,30,0,0,3.3744657039642334,0.2668786942958832,0.762075662612915,0.16196182370185852,0,4.862879286520183e-4,0.001657865708693862,0.031406719237565994,1,2,8.517393112182617,9.801429748535156,600,3017,1443,183,16.5,1,14.899999618530273,194.8389434814453,0.2184349149465561,acireale,catania
0,0.7772509455680847,30,0,0,23.383991241455078,0,0.9974339008331299,0.27854055166244507,0,0.033692196011543274,0.0045738667249679565,0.5078302025794983,1,1,7.253470420837402,6.920963287353516,62,275,137.5,191,6.5,1,18,168.39683532714844,0.21659700572490692,acireale,catania
0,0.6871885061264038,30,0,0,19.760488510131836,3.3800861835479736,0.9973293542861938,0.15806956589221954,0,0,0,0.7262755632400513,1,1,9.752490043640137,8.352885246276855,85,3017,1477,192,0.5,1,16.25,146.22488403320312,0.2558063268661499,acireale,catania
0,0.7947620749473572,30,0,0,4.150704383850098,0.8620390295982361,0.6554937958717346,0.07856842130422592,0,0,0,0.07530380040407181,0,0,8.996651649475098,8.713879585266113,530,3017,1258.5,185,12.5,0,15,253.11915588378906,0.29795682430267334,acireale,catania
0,0.6854405999183655,30,0,0,14.863714218139648,0.6205243468284607,0.9972068071365356,0.2865098714828491,0,0.014130315743386745,0.004196562804281712,0.4848457872867584,1,0,8.241966247558594,7.950554847717285,120,1026,513,191.5,3,1,18.100000381469727,149.73521423339844,0.24586635828018188,acireale,catania
0,0.7788661122322083,30,0,0,12.030062675476074,1.2826402187347412,0.8986708521842957,0.11854732036590576,0,0.005220076534897089,0.0019572023302316666,0.4874434769153595,0,1,8.54616928100586,7.604668617248535,348,3017,1334.5,189,8.5,0,16.399999618530273,175.41807556152344,0.21266822516918182,acireale,catania
0,0.6989157795906067,28,0,0,2.1493566036224365,0.37569984793663025,0.8118156790733337,0.3022909462451935,0,0.00125519756693393,0.0027385191060602665,0.024942656978964806,0,1,8.872907638549805,9.829777717590332,754,2934,1322.5,171,28.5,1,16.799999237060547,186.7177734375,0.28143352270126343,acireale,catania
0,0.613618791103363,30,0,0,25.343290328979492,7.143406867980957,0.9923524260520935,0.3067416846752167,0,0,0,0.6090497970581055,1,1,8.78431510925293,7.013134956359863,7,62,31,192.5,1,0,18.100000381469727,127.11475372314453,0.28288355469703674,acireale,catania
0,1.0047236680984497,20,0,1,3.1498236656188965,1.1886895895004272,0.9997606873512268,0.5250289440155029,0,0.0010534955654293299,0.009493602439761162,0.10464455932378769,0,0,10.103034973144531,10.669042587280273,611,789,369.5,154,50,1,15.450000762939453,155.7866973876953,0.18254737555980682,caltagirone,catania
0,0.8933902382850647,20,0,1,6.504881381988525,3.4365742206573486,0.9996559023857117,0.618676483631134,0,0.003978333901613951,0.016045227646827698,0.17441780865192413,1,2,9.216123580932617,7.976900577545166,520,544,177,154,58,1,14.899999618530273,154.1116943359375,0.1580011397600174,caltagirone,catania
0,0.8496546149253845,20,0,1,4.238897323608398,0.49744054675102234,0.9998021125793457,0.5132271647453308,0,2.0854057220276445e-4,0.00805322453379631,0.03434271737933159,1,0,8.66025447845459,9.4147310256958,630,906,382.5,160,57,1,14.800000190734863,156.5851287841797,0.15470463037490845,caltagirone,catania
0,0.9904918670654297,19,0,0,7.939905643463135,2.2260687351226807,0.9994620680809021,0.38827869296073914,0,0.015606372617185116,0.14848794043064117,0.1196770966053009,0,2,9.216123580932617,8.639132499694824,422,662,281,156,39,1,15.399999618530273,201.21316528320312,0.19317656755447388,caltagirone,catania
0,1.0138541460037231,20,0,1,3.467747211456299,0.2913431227207184,1,0.6363102197647095,0,8.292337879538536e-4,0.045910660177469254,0.04467454180121422,0,0,9.121946334838867,10.024991989135742,543,670,300.5,150,40,1,15.300000190734863,138.28421020507812,0.15597973763942719,caltagirone,catania
0,1.0138541460037231,20,0,0,5.799874782562256,2.771859884262085,1,0.8293169736862183,0,0.0015282206004485488,0.04907534644007683,0.021377189084887505,0,0,8.259716987609863,7.353037357330322,518,590,140,154,58,0,15.199999809265137,141.87962341308594,0.21781383454799652,caltagirone,catania
0,0.9000077247619629,19,0,1,6.746551513671875,1.2158586978912354,0.9995980858802795,0.8230440616607666,0,0.003349039703607559,0.01114539336413145,0.011318754404783249,0,0,8.497806549072266,8.590276718139648,190,467,214,150,33,0,16.799999237060547,169.6999969482422,0.21935230493545532,caltagirone,catania
0,0.9292840957641602,20,0,0,3.3653271198272705,0,0.9998189806938171,0.769438624382019,24,0,0.0020969172473996878,0.0030031807254999876,3,0,8.438365936279297,10.686132431030273,250,765,363.5,146,40,1,15.699999809265137,125.2131576538086,0.31344929337501526,caltagirone,catania
0,1.0138541460037231,20,0,0,4.889486789703369,1.1110100746154785,1,0.6282351613044739,0,0.002455867361277342,0.017333026975393295,0.15037895739078522,0,NA,8.38251781463623,8.081901550292969,491,789,254.5,146,56,1,15.100000381469727,142.70790100097656,0.21002186834812164,caltagirone,catania
0,0.8432955145835876,12,0,1,5.085107803344727,1.2536956071853638,0.9997747540473938,0.9013215899467468,0,0.0021575887221843004,0.009346405044198036,0.05436233431100845,0,0,9.50016975402832,9.425161361694336,619,900,260,160,55,1,14.699999809265137,158.26153564453125,0.15924358367919922,caltagirone,catania
0,0.772200345993042,8,0,0,4.050971508026123,1.74442458152771,0.9994707703590393,0.268367737531662,0,0.001259100972674787,0.007379684131592512,0.04265720024704933,1,3,9.472627639770508,9.340575218200684,562,3274,1555,148,25,1,14.699999809265137,174.88894653320312,0.2065821886062622,catania,catania
